,cut,clarity,color,price,depth,carat,table,x,y,z
9162,Good,SI2,D,4541,64.5,1,59,6.25,6.31,4.05
9163,Ideal,SI2,G,4541,62.2,1.06,55,6.56,6.53,4.07
9164,Ideal,SI2,F,4541,60.7,1.02,56,6.53,6.5,3.95
9165,Premium,SI2,F,4541,61.5,1.02,58,6.49,6.42,3.97
9166,Premium,SI2,F,4541,62.5,1.02,60,6.43,6.36,4
9167,Premium,SI2,F,4541,61.1,1.02,59,6.45,6.41,3.93
9168,Very Good,SI2,G,4542,62.2,0.98,57,6.33,6.37,3.95
9169,Good,SI2,J,4542,66,1.27,59,6.71,6.75,4.44
9170,Very Good,VS2,G,4543,62.7,0.9,59,6.09,6.16,3.84
9171,Good,VVS2,G,4543,64.1,0.91,58,6.06,6.1,3.9
9172,Very Good,SI2,D,4543,59.5,1,62,6.49,6.52,3.87
9173,Good,SI2,D,4543,62.2,1,61,6.3,6.36,3.94
9174,Good,SI1,G,4543,63.3,1,60,6.24,6.33,3.98
9175,Very Good,SI2,D,4543,59.4,1,60,6.48,6.56,3.87
9176,Very Good,SI2,D,4543,61.6,1,58,6.37,6.45,3.95
9177,Very Good,SI2,D,4543,58.3,1,61,6.54,6.59,3.83
9178,Premium,SI2,D,4543,61.9,1.04,58,6.54,6.49,4.03
9179,Ideal,SI1,I,4543,62.6,1.04,56,6.55,6.48,4.08
9180,Premium,SI2,D,4543,59.8,1.25,55,7.07,7.01,4.21
9181,Ideal,SI2,H,4543,61.7,1.04,57,6.54,6.49,4.02
9182,Very Good,SI2,G,4544,62.9,1.08,59,6.53,6.57,4.12
9183,Ideal,SI2,G,4544,61.9,1.08,57,6.55,6.57,4.06
9184,Ideal,SI2,G,4544,62.2,1.08,56,6.56,6.59,4.09
9185,Very Good,VS1,J,4545,60.9,1.1,59,6.65,6.74,4.08
9186,Very Good,SI2,D,4545,60.9,1.03,57,6.53,6.55,3.98
9187,Very Good,SI1,F,4545,63.3,0.9,55,6.18,6.12,3.89
9188,Good,SI1,E,4546,63.5,1.01,58,6.28,6.35,4.01
9189,Ideal,SI1,G,4546,62,0.93,56,6.22,6.26,3.87
9190,Ideal,SI2,F,4547,62.6,1.04,57,6.45,6.48,4.05
9191,Ideal,SI2,F,4547,61.8,1.04,56,6.49,6.53,4.02
9192,Ideal,VVS2,D,4547,62,0.73,53.6,5.76,5.8,3.59
9193,Good,VS2,G,4547,60.4,0.9,61,6.23,6.32,3.79
9194,Ideal,SI2,H,4547,61.7,1.06,60,6.53,6.51,4.02
9195,Ideal,SI2,E,4547,61.6,1.02,56,6.55,6.48,3.99
9196,Premium,SI2,H,4548,61.7,1.31,59,7.03,6.98,4.32
9197,Premium,SI2,H,4548,61.7,1.31,59,7.03,6.98,4.32
9198,Good,VS2,J,4548,63.7,1.2,58,6.68,6.61,4.23
9199,Premium,VS2,H,4548,60.1,0.94,59,6.35,6.32,3.81
9200,Ideal,VS2,G,4549,61.6,0.95,56,6.34,6.3,3.89
9201,Good,SI1,F,4549,63.5,1.01,57,6.29,6.33,4.01
9202,Very Good,SI1,F,4549,63,1.01,57,6.36,6.4,4.02
9203,Ideal,VS2,J,4550,61.3,1.04,54,6.53,6.55,4.01
9204,Fair,VS2,E,4550,61.8,0.91,66,6.11,6.09,3.77
9205,Good,VS2,I,4550,64.3,1.05,55,6.46,6.42,4.14
9206,Ideal,SI2,G,4551,62,1,53,6.42,6.45,3.99
9207,Fair,SI2,I,4551,64.8,1.26,57,6.73,6.69,4.35
9208,Very Good,SI2,F,4552,59.4,1.07,60,6.68,6.75,3.99
9209,Very Good,SI1,H,4552,63.7,1.02,55,6.31,6.38,4.04
9210,Good,SI2,H,4552,63.6,1.27,58,6.82,6.74,4.31
9211,Premium,SI2,G,4552,62.5,1.02,58,6.43,6.4,4.01
9212,Premium,SI2,J,4553,62.3,1.28,58,6.89,6.94,4.31
9213,Ideal,VS2,G,4553,61.4,0.87,55,6.15,6.17,3.78
9214,Fair,VS2,I,4553,62,1.18,66,6.75,6.63,4.16
9215,Fair,SI1,F,4554,60.6,1.07,66,6.65,6.46,3.97
9216,Premium,SI2,I,4555,61.7,1.18,58,6.75,6.79,4.18
9217,Very Good,SI1,D,4556,62.8,0.91,59,6.17,6.21,3.89
9218,Ideal,SI2,G,4556,59.3,1.01,60,6.54,6.58,3.89
9219,Ideal,SI2,H,4556,62,1.13,57,6.74,6.64,4.15
9220,Ideal,SI1,H,4556,61.3,1.13,57,6.72,6.7,4.11
9221,Ideal,SI2,H,4557,61.7,1.04,55,6.49,6.53,4.02
9222,Ideal,SI2,G,4557,62.8,1.03,54,6.51,6.46,4.07
9223,Premium,SI2,F,4557,62.6,1.05,59,6.47,6.43,4.04
9224,Premium,SI2,G,4557,60.6,1.03,60,6.53,6.5,3.95
9225,Premium,SI2,H,4558,62.6,1.1,57,6.6,6.56,4.12
9226,Premium,SI2,I,4558,61.6,1.19,56,6.87,6.83,4.22
9227,Ideal,SI1,H,4558,61.8,1.02,57,6.48,6.41,3.98
9228,Good,SI1,H,4558,63.9,1.02,55,6.4,6.37,4.08
9229,Premium,SI1,H,4558,60.3,1.02,59,6.5,6.44,3.9
9230,Premium,SI1,H,4558,61.9,1.02,61,6.42,6.34,3.95
9231,Premium,SI1,H,4558,62.5,1.05,57,6.52,6.45,4.05
9232,Premium,SI2,H,4558,60.9,1.1,57,6.67,6.62,4.05
9233,Good,SI1,D,4558,64.3,1.02,54,6.32,6.27,4.05
9234,Very Good,SI2,H,4558,63.4,1.19,58,6.79,6.76,4.29
9235,Ideal,SI2,G,4558,63,1.14,57,6.7,6.64,4.2
9236,Good,SI1,H,4559,63.3,1.01,58,6.37,6.4,4.04
9237,Very Good,SI1,H,4559,63,1.01,60,6.33,6.36,4
9238,Premium,SI1,H,4559,59.8,1.01,60,6.48,6.52,3.89
9239,Very Good,SI1,H,4559,62.8,1.01,58,6.36,6.38,4
9240,Good,SI1,H,4559,63.4,1.01,58,6.34,6.38,4.03
9241,Premium,SI1,H,4559,61.2,1.01,58,6.43,6.47,3.95
9242,Good,SI1,H,4559,60.3,1.01,64,6.5,6.53,3.93
9243,Ideal,SI1,H,4559,62.4,1.01,53,6.42,6.47,4.02
9244,Good,SI2,J,4559,60.4,1.21,56,6.84,6.93,4.16
9245,Premium,VS2,H,4559,61.9,1.01,62,6.45,6.37,3.97
9246,Ideal,SI1,F,4559,63,1.01,57,6.39,6.34,4.01
9247,Very Good,VS2,H,4559,63.3,1.01,57,6.32,6.27,3.99
9248,Premium,VS2,H,4559,62.9,1.01,60,6.33,6.22,3.95
9249,Ideal,I1,G,4560,62.5,1.35,57,7.01,7.04,4.39
9250,Premium,SI2,F,4560,61.8,1.07,59,6.53,6.57,4.05
9251,Very Good,SI1,F,4560,60.6,0.96,62,6.35,6.39,3.86
9252,Very Good,SI1,E,4560,63.2,0.9,58,6.12,6.1,3.86
9253,Ideal,SI2,G,4560,61.6,1.01,54,6.4,6.45,3.96
9254,Good,SI2,D,4560,60,1.05,63,6.59,6.64,3.97
9255,Premium,SI2,D,4560,61.8,1.03,60,6.45,6.42,3.98
9256,Ideal,SI2,I,4560,62.6,1.16,56,6.73,6.68,4.2
9257,Premium,SI1,F,4561,62.7,0.97,59,6.28,6.31,3.95
9258,Ideal,VS2,G,4561,62,0.9,57,6.19,6.22,3.85
9259,Very Good,SI2,H,4561,59.8,1.1,60,6.7,6.77,4.03
9260,Very Good,SI1,D,4561,60.8,0.91,60,6.24,6.21,3.79
9261,Ideal,SI2,G,4561,62.3,1.05,56,6.52,6.58,4.08
9262,Ideal,SI1,D,4561,62.2,0.92,56,6.23,6.27,3.89
9263,Very Good,SI2,E,4561,63.2,1.01,59,6.38,6.34,4.02
9264,Fair,SI1,F,4561,65.9,1.01,60,6.25,6.17,4.09
9265,Premium,SI1,E,4562,62.2,0.92,58,6.18,6.23,3.86
9266,Premium,SI1,E,4562,59.8,0.92,59,6.33,6.37,3.8
9267,Very Good,SI1,E,4562,62.1,0.92,58,6.15,6.22,3.84
9268,Premium,VS2,E,4562,63,0.9,57,6.15,6.07,3.85
9269,Premium,VS2,E,4562,60.6,0.9,53,6.3,6.27,3.81
9270,Premium,VS2,I,4562,61.6,1.22,59,6.86,6.81,4.21
9271,Very Good,SI1,E,4563,61.1,1.01,57,6.44,6.5,3.95
9272,Ideal,SI2,H,4563,60.9,1.06,56,6.58,6.63,4.02
9273,Good,SI1,E,4563,64.5,1.01,56,6.24,6.29,4.04
9274,Ideal,SI2,E,4564,61.6,1.07,55,6.62,6.59,4.07
9275,Very Good,SI1,H,4564,62.8,1.04,57,6.44,6.48,4.06
9276,Very Good,SI2,D,4564,59.7,1.01,58,6.55,6.61,3.93
9277,Very Good,SI2,D,4564,61.4,1.01,60,6.33,6.38,3.9
9278,Ideal,SI2,H,4564,61.2,1.08,57.4,6.57,6.63,4.04
9279,Ideal,SI1,H,4564,61.4,1,57,6.37,6.34,3.9
9280,Very Good,VVS2,G,4565,63,0.9,58,6.07,6.15,3.85
9281,Ideal,SI1,J,4565,61.4,1.09,55,6.61,6.67,4.08
9282,Fair,SI2,E,4566,67.5,1.04,56,6.28,6.22,4.22
9283,Very Good,SI2,E,4566,60.9,1.01,58,6.45,6.49,3.94
9284,Ideal,SI2,G,4566,60.4,1.04,58,6.56,6.62,3.98
9285,Good,SI2,E,4566,60.2,1.01,60,6.37,6.42,3.85
9286,Good,VS1,H,4566,57.8,0.91,61,6.4,6.36,3.69
9287,Premium,SI2,E,4566,59.2,1.04,58,6.7,6.64,3.95
9288,Ideal,VS2,H,4568,62.2,0.92,55,6.21,6.27,3.88
9289,Ideal,SI2,F,4568,60.7,1.06,57,6.57,6.61,4
9290,Good,SI1,H,4568,61.5,1,64,6.38,6.41,3.93
9291,Good,VS2,H,4569,62.7,1,54,6.26,6.31,3.94
9292,Premium,SI2,F,4570,60.5,1.12,59,6.73,6.79,4.09
9293,Very Good,VVS1,E,4570,62.8,0.79,60,5.8,5.89,3.67
9294,Very Good,SI2,E,4570,61.7,1.06,62,6.5,6.54,4.02
9295,Fair,SI2,J,4570,58.6,1.45,68,7.45,7.33,4.34
9296,Premium,VS1,G,4570,62.5,0.91,61,6.17,6.05,3.82
9297,Premium,SI2,F,4570,62.5,1.02,57,6.47,6.43,4.03
9298,Premium,SI2,G,4571,61.5,1.06,58,6.6,6.54,4.04
9299,Premium,SI2,G,4571,61.9,1.06,60,6.53,6.52,4.04
9300,Premium,SI1,H,4572,62,1.12,56,6.69,6.59,4.13
9301,Ideal,SI2,H,4572,62.6,1.15,55,6.74,6.65,4.19
9302,Good,SI1,E,4573,63.9,1,57,6.31,6.34,4.04
9303,Good,SI1,J,4573,63.5,1.32,57,6.95,6.98,4.42
9304,Very Good,SI1,H,4573,63.5,1.03,53,6.43,6.46,4.09
9305,Premium,SI2,F,4573,62.4,1.07,57,6.58,6.53,4.09
9306,Very Good,SI1,H,4574,62.4,1,58,6.37,6.42,3.99
9307,Good,SI1,H,4574,62.9,1.01,55,6.35,6.41,4.01
9308,Premium,SI1,J,4574,59.7,1.21,60,6.93,6.9,4.13
9309,Ideal,SI1,D,4575,62.3,0.94,57,6.24,6.29,3.9
9310,Very Good,SI2,E,4575,62.2,1.01,58,6.36,6.43,3.98
9311,Very Good,SI2,E,4576,60.6,1,60,6.33,6.4,3.86
9312,Very Good,SI1,H,4576,63.1,1.12,56,6.62,6.59,4.17
9313,Ideal,SI2,F,4578,61.4,1.02,56,6.47,6.5,3.98
9314,Ideal,SI2,G,4578,61,1.06,57,6.56,6.61,4.02
9315,Ideal,SI2,H,4578,62.7,1.11,57,6.59,6.66,4.14
9316,Ideal,SI2,H,4578,62,1.11,54,6.61,6.64,4.11
9317,Ideal,SI2,H,4578,61.3,1.11,55,6.65,6.73,4.1
9318,Premium,SI2,H,4578,61.6,1.11,60,6.6,6.67,4.09
9319,Premium,SI2,H,4578,61.7,1.09,60,6.59,6.57,4.06
9320,Premium,SI2,H,4578,62.1,1.09,55,6.63,6.58,4.1
9321,Premium,SI1,H,4578,60.5,1.01,58,6.47,6.39,3.89
9322,Very Good,SI1,D,4579,62.5,0.9,59,6.11,6.15,3.83
9323,Ideal,SI1,D,4579,62.5,0.9,57,6.12,6.2,3.85
9324,Premium,SI2,I,4579,60.8,1.18,58,6.84,6.78,4.14
9325,Premium,SI1,F,4579,60.9,1.03,60,6.52,6.45,3.95
9326,Premium,VS1,G,4579,62.7,0.9,58,6.15,6.06,3.83
9327,Premium,SI2,E,4579,62.7,1,58,6.41,6.34,4
9328,Very Good,SI2,E,4579,63.3,1,58,6.35,6.32,4.01
9329,Premium,VS2,J,4580,62.2,1.27,58,6.88,6.84,4.27
9330,Very Good,VS2,E,4580,59.1,0.9,62,6.24,6.28,3.7
9331,Good,VS1,F,4580,63.5,0.9,57,6.06,6.09,3.86
9332,Very Good,VS2,E,4580,62.2,0.9,59,6.13,6.18,3.83
9333,Good,VS2,E,4580,63.1,0.9,58,6.11,6.15,3.87
9334,Very Good,VS2,E,4580,62.9,0.9,57,6.16,6.18,3.88
9335,Very Good,SI2,J,4580,61.8,1.2,60,6.76,6.83,4.2
9336,Very Good,SI2,D,4580,63.7,1.03,56,6.32,6.39,4.05
9337,Ideal,SI2,H,4580,62,1,55,6.39,6.43,3.98
9338,Premium,SI1,E,4580,62,0.94,58,6.27,6.24,3.88
9339,Premium,SI1,E,4580,60,0.94,58,6.44,6.37,3.84
9340,Premium,SI1,E,4580,62.4,0.94,56,6.27,6.24,3.9
9341,Premium,SI2,E,4581,62.5,1.11,58,6.61,6.63,4.14
9342,Very Good,SI2,E,4581,63.3,1.01,58,6.37,6.3,4.01
9343,Good,VS1,I,4581,63.9,1,56,6.37,6.18,4.01
9344,Ideal,SI2,G,4582,61.8,1.03,55,6.46,6.51,4.01
9345,Good,VS1,J,4582,60.1,1.03,62.4,6.43,6.49,3.88
9346,Very Good,SI2,J,4583,62.2,1.24,58,6.82,6.94,4.28
9347,Premium,SI2,D,4583,59.3,1.02,60,6.56,6.52,3.88
9348,Very Good,SI2,D,4583,58.6,1.02,63,6.56,6.54,3.84
9349,Very Good,SI2,I,4584,62.5,1.09,57,6.56,6.58,4.11
9350,Very Good,SI2,H,4584,59,1.11,59,6.79,6.82,4.02
9351,Ideal,VS2,H,4584,59.9,0.9,57,6.27,6.31,3.77
9352,Ideal,SI2,H,4584,62.5,1.13,57,6.67,6.71,4.18
9353,Ideal,SI1,I,4584,62.4,1.01,56,6.36,6.4,3.98
9354,Premium,SI2,G,4584,62.1,1.07,59,6.54,6.48,4.04
9355,Ideal,SI1,H,4585,59.7,1.03,55,6.6,6.64,3.95
9356,Ideal,SI2,E,4585,62.7,1.02,57,6.35,6.44,4.01
9357,Ideal,SI2,G,4586,61.2,1.09,57,6.63,6.68,4.07
9358,Ideal,SI2,G,4586,62.1,1.09,56,6.59,6.66,4.12
9359,Very Good,SI1,I,4586,62.9,1.16,58,6.64,6.69,4.19
9360,Good,SI1,F,4586,63.6,1,62,6.3,6.24,3.99
9361,Ideal,SI1,D,589,61.3,0.32,55,4.39,4.42,2.7
9362,Very Good,SI1,D,589,62.8,0.32,56,4.37,4.42,2.76
9363,Premium,SI1,D,589,61.5,0.32,59,4.39,4.42,2.71
9364,Ideal,SI1,D,589,61.3,0.32,57,4.37,4.41,2.69
9365,Ideal,SI1,D,589,61.4,0.32,57,4.41,4.42,2.71
9366,Good,SI1,D,589,63.1,0.32,57,4.37,4.38,2.76
9367,Good,SI1,D,589,63.1,0.32,56,4.34,4.38,2.75
9368,Good,SI1,D,589,63.7,0.32,55,4.35,4.38,2.78
9369,Ideal,SI1,D,589,62.7,0.32,54,4.37,4.4,2.75
9370,Very Good,SI1,D,589,58.3,0.32,58,4.49,4.54,2.63
9371,Very Good,SI1,D,589,62.8,0.32,56,4.34,4.35,2.73
9372,Premium,SI1,D,589,61.3,0.32,60,4.41,4.43,2.71
9373,Premium,SI1,D,589,60.8,0.32,58,4.41,4.44,2.69
9374,Ideal,SI1,D,589,61.9,0.32,57,4.36,4.4,2.71
9375,Ideal,VVS1,I,589,62.5,0.32,55,4.37,4.4,2.74
9376,Premium,SI1,D,589,60.2,0.32,58,4.4,4.43,2.66
9377,Premium,SI1,D,589,60.4,0.32,58,4.44,4.47,2.69
9378,Very Good,VVS1,I,589,63,0.32,58,4.32,4.38,2.74
9379,Ideal,SI1,D,589,62,0.32,57,4.38,4.42,2.73
9380,Ideal,VVS1,I,589,61.7,0.32,55,4.39,4.4,2.71
9381,Premium,VS2,G,589,62.5,0.36,58,4.51,4.55,2.83
9382,Good,SI1,D,589,63.5,0.32,55,4.31,4.35,2.75
9383,Ideal,SI1,D,589,62,0.32,55,4.37,4.47,2.74
9384,Very Good,SI1,D,589,58.9,0.32,60,4.47,4.49,2.64
9385,Ideal,SI1,D,589,61.5,0.32,56,4.39,4.42,2.71
9386,Good,SI1,D,589,63.6,0.32,56,4.34,4.37,2.77
9387,Good,SI1,D,589,63.3,0.32,57,4.37,4.38,2.77
9388,Good,SI1,D,589,63.8,0.32,56,4.33,4.35,2.77
9389,Ideal,SI1,D,589,62.5,0.32,54,4.39,4.41,2.75
9390,Good,SI1,D,589,63.2,0.32,54,4.36,4.38,2.76
9391,Premium,SI1,F,4586,61.4,1,60,6.38,6.35,3.91
9392,Premium,VS2,D,4586,63,0.9,62,6.13,6.06,3.84
9393,Good,SI1,I,4586,60,1.17,64,6.91,6.83,4.12
9394,Good,SI1,F,4586,64.1,1,60,6.25,6.19,3.99
9395,Fair,SI1,F,4586,64.8,1,58,6.26,6.21,4.04
9396,Ideal,SI2,F,4586,60.5,1.03,58,6.55,6.49,3.94
9397,Premium,SI2,H,4586,62,1.26,56,6.92,6.88,4.28
9398,Very Good,SI1,F,4586,58.1,1,63,6.45,6.36,3.72
9399,Premium,SI2,F,4586,60.7,1.03,60,6.52,6.47,3.94
9400,Premium,SI2,F,4586,61.4,1.03,57,6.6,6.53,4.03
9401,Ideal,SI2,H,4586,61.9,1.05,56,6.56,6.49,4.04
9402,Premium,SI2,F,4586,62.4,1.03,59,6.45,6.38,4
9403,Good,SI1,F,4586,63.8,1,58,6.28,6.22,3.99
9404,Premium,SI1,F,4586,62.2,1,58,6.39,6.35,3.96
9405,Very Good,SI1,D,4586,63.1,0.91,59,6.14,6.1,3.86
9406,Premium,SI2,F,4586,61.6,1.03,58,6.46,6.43,3.97
9407,Premium,SI1,F,4586,62.9,1,57,6.37,6.32,3.99
9408,Ideal,VS1,I,4587,62.3,0.92,55,6.24,6.28,3.9
9409,Ideal,SI1,H,4587,61.6,0.92,56,6.21,6.25,3.84
9410,Very Good,VS2,H,4588,62.3,0.9,59,6.13,6.17,3.83
9411,Very Good,VS1,J,4588,59.5,1.01,59,6.54,6.6,3.91
9412,Very Good,SI2,D,4588,62.2,1.01,60,6.4,6.43,3.99
9413,Very Good,SI1,G,4588,62.9,1.01,61,6.36,6.4,4.01
9414,Good,SI2,D,4588,63.9,1.01,57,6.29,6.36,4.04
9415,Good,SI1,G,4588,63.6,1.01,57,6.33,6.37,4.04
9416,Very Good,SI2,D,4588,58.3,1.01,59,6.63,6.67,3.88
9417,Very Good,SI1,G,4588,62.9,1.01,54,6.41,6.47,4.05
9418,Premium,SI1,G,4588,62.5,1.01,60,6.34,6.39,3.98
9419,Good,SI1,G,4588,63.5,1.01,60,6.3,6.33,4.01
9420,Very Good,SI1,G,4588,59.6,1.01,61,6.47,6.52,3.87
9421,Good,SI1,G,4588,63.4,1.01,58,6.28,6.33,4
9422,Very Good,SI2,D,4588,60.3,1.01,57,6.51,6.56,3.94
9423,Good,SI1,G,4588,63.9,1.01,57,6.3,6.37,4.05
9424,Ideal,SI1,G,4588,61.8,1.01,57,6.41,6.46,3.98
9425,Very Good,SI2,D,4588,61.8,1.01,60,6.37,6.41,3.95
9426,Very Good,SI2,D,4588,62.8,1.01,59,6.34,6.44,4.01
9427,Premium,SI2,H,4588,62.4,1.28,56,6.97,6.89,4.34
9428,Very Good,VS1,G,4590,60.9,0.91,54,6.27,6.38,3.85
9429,Very Good,VS2,J,4590,62.5,1.2,57,6.72,6.79,4.22
9430,Ideal,SI2,F,4591,60.9,1.05,56,6.56,6.64,4.02
9431,Ideal,SI1,E,4591,61.1,1.02,56,6.45,6.51,3.96
9432,Very Good,SI2,G,4591,62.1,1.09,57,6.58,6.63,4.1
9433,Ideal,SI2,I,4591,62.7,1.06,58,6.48,6.5,4.07
9434,Ideal,SI2,F,4591,61.7,1.14,56,6.71,6.67,4.13
9435,Premium,VS2,I,4591,59.3,1.19,59,6.98,6.88,4.11
9436,Good,SI2,H,4592,57.9,1,62,6.53,6.49,3.77
9437,Premium,SI1,I,4592,59.6,1,58,6.55,6.5,3.89
9438,Good,VVS2,H,4592,59.5,1,64,6.44,6.41,3.82
9439,Very Good,VVS2,H,4592,63.7,0.9,57,6.09,6.02,3.86
9440,Very Good,VS1,H,4592,62.3,0.9,59,6.12,6.17,3.83
9441,Premium,VS2,I,4592,62.5,1.01,58,6.39,6.44,4.01
9442,Ideal,VS1,H,4592,61.6,0.9,56,6.17,6.13,3.79
9443,Ideal,VS1,F,4592,62.3,0.83,56.4,5.97,6.02,3.73
9444,Ideal,SI1,D,4592,63,1,56,6.33,6.28,3.97
9445,Ideal,SI2,F,4593,61.8,0.9,56,6.18,6.21,3.83
9446,Ideal,SI2,F,4593,61.9,0.9,57,6.13,6.18,3.81
9447,Ideal,SI2,F,4593,62.4,0.9,55,6.17,6.2,3.86
9448,Very Good,SI1,F,4594,63,1.02,58,6.36,6.4,4.02
9449,Good,SI1,F,4594,63.5,1.02,57,6.35,6.4,4.05
9450,Very Good,SI2,D,4595,62.8,1,58,6.29,6.39,3.98
9451,Very Good,IF,I,4596,62.6,0.9,59,6.12,6.15,3.84
9452,Ideal,IF,F,4596,59.6,0.76,58,5.95,5.96,3.55
9453,Good,SI1,H,4596,63.8,1,53,6.39,6.27,4.04
9454,Premium,SI1,I,4596,60.4,1.14,60,6.78,6.73,4.08
9455,Ideal,SI2,I,4596,63,1.2,57,6.77,6.7,4.24
9456,Premium,SI1,F,4597,61.7,1.07,58,6.58,6.62,4.07
9457,Very Good,VS2,E,4598,63.8,0.9,55,6.11,6.18,3.92
9458,Very Good,SI2,D,4598,62.2,1.09,59,6.46,6.49,4.03
9459,Good,SI2,J,4598,63.7,1.38,58,7.06,7.01,4.48
9460,Premium,SI2,G,4598,62.6,1.05,62,6.49,6.45,4.05
9461,Premium,VS2,E,4600,61.2,0.92,62,6.27,6.22,3.82
9462,Very Good,VS2,G,4600,62.5,0.9,57,6.12,6.14,3.83
9463,Very Good,I1,J,4600,63.3,1.51,57,7.31,7.23,4.6
9464,Ideal,SI2,H,4600,60.9,1.11,56,6.71,6.73,4.09
9465,Fair,SI2,E,4600,57.1,1.01,59,6.65,6.69,3.81
9466,Good,VS2,D,4601,63.5,0.9,61,6.09,6.16,3.89
9467,Very Good,VVS1,G,4601,62.3,0.9,58,6.14,6.21,3.85
9468,Premium,SI1,I,4601,60.7,1.04,59,6.6,6.57,4
9469,Ideal,VS2,J,4602,61.6,1.07,56.3,6.55,6.59,4.04
9470,Good,VS2,J,4602,61.7,1.07,57.7,6.55,6.58,4.05
9471,Ideal,SI1,I,4602,61.8,1,55,6.41,6.44,3.97
9472,Ideal,SI1,H,4602,60.8,1.06,54,6.64,6.61,4.03
9473,Very Good,SI1,H,4603,61.4,1.2,63,6.76,6.72,4.14
9474,Premium,SI1,H,4603,61.1,1.03,59,6.56,6.5,3.99
9475,Ideal,SI1,H,4603,62.3,1.03,56,6.48,6.45,4.03
9476,Premium,SI1,H,4603,60,1.03,60,6.41,6.4,4.02
9477,Very Good,SI1,H,4604,62.6,1.02,59,6.38,6.43,4.01
9478,Premium,SI1,H,4604,61.9,1.02,58,6.43,6.47,3.99
9479,Good,SI1,H,4604,63.5,1.02,58,6.36,6.39,4.05
9480,Ideal,SI2,H,4604,61.8,1.05,58,6.52,6.55,4.04
9481,Ideal,SI2,H,4604,61,1.07,55,6.62,6.65,4.05
9482,Ideal,SI2,E,4604,59.6,1.01,60,6.52,6.6,3.91
9483,Ideal,VS2,H,4604,62.3,1.02,54,6.48,6.39,4.01
9484,Very Good,VS2,H,4604,60,1.02,63,6.54,6.49,3.91
9485,Very Good,VS2,H,4604,63.3,1.02,55,6.4,6.33,4.03
9486,Premium,SI1,G,4605,62.8,1.01,59,6.43,6.34,4.01
9487,Very Good,VS2,F,4606,60.8,0.91,57,6.24,6.25,3.8
9488,Very Good,SI2,D,4606,62.7,1.01,58,6.31,6.39,3.98
9489,Good,SI2,D,4606,64.5,1.01,58,6.18,6.26,4.01
9490,Good,SI1,H,4606,64.2,1.11,58,6.53,6.47,4.17
9491,Very Good,SI2,E,4607,60.1,1.1,62,6.65,6.69,4.01
9492,Very Good,SI1,H,4608,59.5,1.05,58,6.61,6.69,3.96
9493,Good,SI1,H,4608,63.1,1.05,60,6.42,6.49,4.07
9494,Premium,SI1,H,4608,61.9,1.05,58,6.45,6.5,4.01
9495,Ideal,SI2,G,4608,61.8,1.05,57,6.51,6.57,4.04
9496,Good,SI1,F,4608,58.1,1,64,6.56,6.6,3.82
9497,Good,SI1,E,4608,64.7,1.01,57,6.22,6.29,4.05
9498,Very Good,SI2,E,4609,60.5,1.07,61,6.55,6.61,3.98
9499,Ideal,VVS1,I,4609,60,0.91,57,6.29,6.31,3.83
9500,Good,SI1,H,4610,63.7,1.01,56,6.34,6.33,4.08
9501,Premium,VS2,I,4611,62,1.13,58,6.64,6.69,4.13
9502,Good,SI1,E,4611,63.1,0.93,57,6.17,6.19,3.9
9503,Good,SI1,E,4611,63.6,0.91,57,6.13,6.1,3.89
9504,Ideal,SI2,H,4611,61.6,1.03,54,6.51,6.55,4.02
9505,Ideal,SI1,J,4611,60.7,1.09,58,6.64,6.68,4.04
9506,Premium,VS2,J,4611,61.8,1.2,59,6.84,6.76,4.2
9507,Fair,SI1,G,4612,65.9,1.16,55,6.54,6.51,4.3
9508,Premium,SI1,D,4612,62.2,0.9,60,6.14,6.08,3.8
9509,Ideal,SI1,I,4612,60.2,1.01,59,6.49,6.54,3.92
9510,Premium,SI1,D,4612,62.2,0.9,58,6.18,6.11,3.82
9511,Premium,SI1,D,4612,62.8,0.9,59,6.18,6.14,3.87
9512,Very Good,VS2,I,4612,63.1,1.05,58,6.47,6.42,4.07
9513,Good,SI1,J,4612,63.8,1.22,57,6.77,6.72,4.3
9514,Ideal,SI1,D,4612,62.7,0.9,56,6.18,6.16,3.87
9515,Premium,SI1,D,4612,62.4,0.9,61,6.17,6.13,3.84
9516,Premium,SI2,F,4612,58.9,1.11,60,6.8,6.74,3.99
9517,Ideal,SI2,I,4612,61.8,1.22,57,6.9,6.83,4.23
9518,Ideal,SI2,E,4613,62.4,1.07,57,6.52,6.55,4.08
9519,Ideal,SI1,E,4613,62,1.04,57,6.5,6.47,4.02
9520,Very Good,SI2,H,4615,63.3,1.14,57,6.6,6.63,4.19
9521,Premium,SI2,F,4616,62.9,1.01,59,6.32,6.27,3.96
9522,Good,SI1,H,4616,59.4,1.01,60,6.49,6.54,3.87
9523,Premium,SI2,F,4616,61.7,1.01,60,6.42,6.36,3.94
9524,Very Good,VS2,F,4617,61.6,0.9,63,6.13,6.17,3.79
9525,Very Good,VS2,F,4617,62.2,0.9,57,6.17,6.24,3.86
9526,Good,VS2,F,4617,64.3,0.9,57,6.07,6.09,3.91
9527,Very Good,VVS2,H,4617,61.8,0.9,60,6.11,6.15,3.79
9528,Very Good,SI1,H,4617,63,1.02,58,6.34,6.4,4.01
9529,Very Good,SI1,H,4617,60.2,1.01,60,6.5,6.48,3.91
